raw_title,year_hint,tmdb_id,matched_title,release_year,confidence,popularity,n_candidates,note
The SpongeBob Movie: Search for SquarePants,2025,991494,The SpongeBob Movie: Search for SquarePants,2025,auto,22.6,1,
The Stage,2025,1406607,The Stage,2025,auto,0.8,20,
The Way Way Back,2013,147773,The Way Way Back,2013,auto,3.0,3,
Tinā,2024,1262426,Tinā,2025,review,1.6,9,year hint 2024 != top match 2025; 9 candidates — check remake/original
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,auto,2.8,1,
Tom & Jerry,2021,587807,Tom & Jerry,2021,auto,7.1,4,
Top Gun: Maverick,2022,361743,Top Gun: Maverick,2022,auto,24.8,2,
Toy Story,1995,862,Toy Story,1995,auto,45.1,2,
ONE IN A MILL10N,2025,1516525,ONE IN A MILL10N,2025,auto,1.8,1,
Vitória,2025,1043808,Vitória,2025,auto,5.5,5,
WALL·E,2008,10681,WALL·E,2008,auto,30.9,4,
We Girls,2025,1319738,We Girls,2025,auto,0.5,2,
Whale Rider,2002,1088,Whale Rider,2003,auto,2.8,1,"year differs (LB 2002 / TMDB 2003); sole candidate, same film"
What's Eating Gilbert Grape,1993,1587,What's Eating Gilbert Grape,1993,auto,5.1,1,
Why We Dream,2025,1494570,Why We Dream,2025,auto,1.0,1,
Wicked: For Good,2025,967941,Wicked: For Good,2025,auto,11.5,3,
Wild,2014,228970,Wild,2014,auto,2.8,20,
Wuthering Heights,2026,1316092,"""Wuthering Heights""",2026,auto,19.9,1,
X-Men: Days of Future Past,2014,127585,X-Men: Days of Future Past,2014,auto,12.2,2,
Zoolander,2001,9398,Zoolander,2001,auto,4.1,1,
Zootopia,2016,269149,Zootopia,2016,auto,25.3,2,
Zootopia 2,2025,1084242,Zootopia 2,2025,auto,58.1,1,
