title,is,C,A,D,M,R,dispersion,P,audienceDivided,agreementGated,classification,phrase,flags
"Moulin Rouge!",73,0.681,1.209,0.454,75.2,0.860,0.232,,no,no,miscible,"In Agreement",
"Mrs. Harris Goes to Paris",76,0.937,0.844,-0.073,99.3,0.788,0.475,,no,no,miscible,"In Agreement",
"Mulan",80,1.059,1.529,0.406,79.6,0.862,0.179,,no,no,miscible,"Loved by All",
"Murder on the Orient Express",60,-0.225,0.006,0.195,94.9,0.844,0.180,,no,no,miscible,"In Agreement",
"My Father's Shadow",85,1.500,1.225,-0.177,95.8,0.643,0.424,,no,no,miscible,"Loved by All",
"My Old Ass",75,1.098,0.658,-0.346,84.7,0.786,0.401,,no,no,miscible,"In Agreement",
"My Tennis Maestro",67,,,,,,,,,,unmeasured,"",
"Nirvanna the Band the Show the Movie",84,1.423,1.691,0.195,94.9,0.728,0.315,,no,no,miscible,"Loved by All",
"We Shall Not Be Moved",73,,,,,,,,,,unmeasured,"",
"No Other Choice",84,1.623,1.376,-0.195,94.9,0.790,0.292,,no,no,miscible,"Loved by All",
"Notting Hill",74,0.747,0.913,0.141,97.3,0.849,0.093,,no,no,miscible,"In Agreement",
"Ocean's Eleven",77,0.893,1.227,0.292,88.8,0.875,0.153,,no,no,miscible,"In Agreement",
"One Battle After Another",86,1.821,1.194,-0.529,67.8,0.845,0.457,,no,yes,miscible,"Loved by All",
"One Hundred and One Dalmatians",81,1.337,0.886,-0.362,83.4,0.803,0.119,,no,no,miscible,"In Agreement",
"Paris Is Burning",87,1.310,1.909,0.455,75.0,0.761,0.390,,no,no,miscible,"Loved by All",
"PAW Patrol: The Movie",62,0.132,0.135,0.002,100.0,0.766,1.041,,yes,no,miscible,"In Agreement",
"Phantom Thread",84,1.647,1.185,-0.384,81.5,0.831,0.439,,no,no,miscible,"Loved by All",
"Pirates of the Caribbean: The Curse of the Black Pearl",75,0.546,1.549,0.887,33.6,0.885,0.164,,no,no,crowd-pleaser,"Audience's Film",
"Play Dirty",51,-0.727,-0.742,-0.012,100.0,0.773,0.419,,no,no,miscible,"In Agreement",
"Point Break",69,0.426,0.972,0.457,74.9,0.837,0.156,,no,no,miscible,"In Agreement",
"Predator: Badlands",75,1.074,0.929,-0.122,98.0,0.841,0.585,,yes,no,miscible,"In Agreement",
"Project Hail Mary",85,1.026,1.946,0.791,42.1,0.860,0.223,,no,yes,miscible,"Loved by All",
"Protector",42,-1.324,-0.487,0.572,63.6,0.684,1.299,,yes,no,partial,"",
"Puss in Boots",70,0.703,0.296,-0.309,87.6,0.759,0.190,,no,no,miscible,"In Agreement",
"Puss in Boots: The Three Diablos",71,0.923,0.156,-0.338,85.4,0.440,0.286,,no,no,miscible,"In Agreement",
"Puss in Boots: The Last Wish",82,1.030,1.740,0.601,60.7,0.846,0.145,,no,yes,miscible,"Loved by All",
"Ready or Not",72,0.709,0.607,-0.085,99.0,0.830,0.187,,no,no,miscible,"In Agreement",
"Ready or Not: Here I Come",66,0.359,0.504,0.117,98.1,0.802,0.590,,yes,no,miscible,"In Agreement",
"Regretting You",44,-1.316,-0.273,0.723,48.5,0.693,0.894,,yes,no,partial,"",
"Reminders of Him",56,-0.580,-0.115,0.353,84.2,0.759,1.135,,yes,no,miscible,"In Agreement",
"Rental Family",76,0.704,1.344,0.460,74.6,0.719,0.279,,no,no,miscible,"In Agreement",
"Rocketman",76,0.732,1.029,0.251,91.6,0.847,0.263,,no,no,miscible,"In Agreement",
